listing_id,Mean_Sentiment_Polarity,Total_Reviews_per_listing
2318,0.48334712262151397,21
3335,0.337037037037037,1
4291,0.3346912312121877,63
5682,0.3538863725277476,462
6606,0.35614973216334417,134
9419,0.3415084667721602,130
9460,0.370264218534537,404
9531,0.41397244708700875,36
9534,0.38531526455495,36
9596,0.40112864740983056,76
9909,0.4128557959673251,57
10209,0.3969901610092582,36
10385,0.37210252245590697,94
10695,0.4403497835497835,20
11012,0.45855214299810554,80
11411,0.38627827619749466,73
14386,0.3770700406941454,126
15108,0.3844479878836409,70
15749,0.41932373820511804,17
17951,0.4050260685803866,91
19619,0.4945566984327522,78
20868,0.3813154064657575,120
20927,0.4241528381843109,499
20928,0.4324333572067924,279
23192,0.3804405370037368,100
23356,0.2236902059928376,19
24212,0.42999303929998345,79
25002,0.4100485310543695,692
26116,0.38570999376624776,143
26795,0.4265482168007915,59
30712,0.31665413004843107,85
37234,0.4498412698412699,3
38545,0.4275830131198719,94
41401,0.4384866821039709,28
43373,0.38702300589898575,232
47491,0.4023056272631489,44
48848,0.406520146994849,39
50233,0.3680977556484178,29
52525,0.38369819461843274,30
58503,0.39990802085087157,218
63733,0.36894446537852893,214
66540,0.3043314828200122,25
66611,0.4112058005651755,24
67270,0.39729975639612114,178
77149,0.3589434624017957,15
86185,0.368708657727328,63
103908,0.36468831114419353,17
103920,0.25745203202717054,19
107884,0.4152930533498209,115
107962,0.3666574494421423,220
108765,0.38331876440570734,57
116221,0.4165792131121685,39
117165,0.4264829559746681,126
119103,0.377899478934827,351
132120,0.37908788986629777,90
132160,0.3760819496286386,248
134091,0.4553873347338485,154
136480,0.4125693468494586,56
139463,0.3739213138133296,161
140331,0.37307839808711546,140
143580,0.35910351394472306,348
143704,0.37516075885822014,343
151545,0.446698082010582,16
158345,0.39987354027637256,413
162563,0.3649895282186949,9
170273,0.44673795450023207,203
170469,0.3964883243336,84
173896,0.3913268524266427,276
174636,0.413869431800498,36
175576,0.4064636930980881,279
186328,0.0,1
189156,0.43202226864739096,258
190984,0.41098976613387206,152
193836,0.3928516105240907,165
202174,0.36416083468921484,20
202251,0.2930568100458533,22
202260,0.3779646082597893,143
208356,0.38548551049868574,703
208670,0.36236585915207453,131
210316,0.3838986780129148,67
215882,0.3999956766052969,338
217142,0.4709325441339558,134
218741,0.37280982966774306,131
219532,0.4338028993363811,76
222885,0.38079014679751727,30
224763,0.4050790249565639,88
225820,0.39011200175609545,83
226495,0.390255540254316,81
226536,0.4012443435557552,167
226677,0.3757142617166274,134
227636,0.38704989049717725,211
229990,0.443968253968254,2
231097,0.3817225255386691,142
232015,0.4597616020290881,19
233502,0.13333333333333333,1
241016,0.38046272928150354,85
241032,0.3742592942511588,285
243885,0.307609126984127,4
251922,0.37554898766942674,209
254340,0.4175560749747869,148
260613,0.3986585014435754,45
261912,0.3738298337443836,31
264829,0.34677796574638203,47
271509,0.4100845370242444,66
277416,0.44859303024101477,101
278830,0.41319598075350933,68
279209,0.0,2
281208,0.3970578692070693,147
281789,0.4380560929888523,52
282934,0.35840953332883096,90
284087,0.38822536481054004,160
286080,0.42447917032978766,82
301059,0.4525826045768618,45
303277,0.43059981684981685,8
311790,0.46084104938271614,3
317248,0.42527420632196733,152
318475,0.37893154177837834,122
319768,0.39296988371106023,5
338090,0.1625,2
338091,0.4001694850768376,117
340706,0.40003949526269317,183
341454,0.45359090339905295,49
353039,0.43417518924755605,46
353110,0.389189152621399,69
353347,0.3557348913107493,29
356248,0.4733345950977939,23
356608,0.4178422777521459,102
365550,0.36600735502734133,716
368403,0.46490433831433425,29
370361,0.39541349035585477,195
380950,0.316038813415032,25
384797,0.3863473013465077,45
385438,0.42684586247086254,4
387078,0.446242154361166,142
387464,0.3655548335830746,210
392140,0.42234448184146334,234
392779,0.3581571483722064,124
394408,0.4021379939052843,48
397152,0.4201222570071254,13
413733,0.44475024966017995,142
421168,0.3606800326430882,332
430609,0.49581934857180476,46
430610,0.46807445542324905,94
433842,0.4575361552028218,18
443942,0.38396876443328465,33
445199,0.3915246608023875,96
447523,0.35908815713529807,180
451012,0.4617232388823298,2
461234,0.3901813231660408,244
461567,0.3793207908070544,261
463768,0.3918818150394294,24
475361,0.4086816919967835,114
475496,0.39444444444444443,1
490076,0.40025589372974923,277
490110,0.4271287564780451,44
491958,0.3869471049081549,304
493591,0.3742659281672947,158
496074,0.3930797430815566,141
506542,0.4037814832708581,166
513344,0.43374141414141415,5
515598,0.38655995977950286,22
522270,0.3561904101989628,18
527273,0.4284255288111283,27
533443,0.40573231849259345,282
544433,0.4143346367189159,398
552325,0.3724427184335273,8
555182,0.3352920686510663,18
557126,0.3925883583982568,338
564220,0.39654938449820665,116
564428,0.41125164348481247,230
565703,0.40948681540154536,305
566435,0.3588482482063871,89
573942,0.3708260209170777,143
